f,Source,Site Name,Address,City,Zip,ZipTxt,Hours of Operation,HoursJSON,Google Calendar JSON,Website,Phone,Email,lat,lng
106,CofBoston,ABCD/South End Neighborhood Action Prgrm,554 Columbus Avenue,Roxbury,2118,2118,M-F: 10am-1:30pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""13:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""10:00""
""end"" : ""13:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""10:00""
""end"" : ""13:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""10:00""
""end"" : ""13:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""10:00""
""end"" : ""13:30""",,http://www.gbfb.org/need-food/index.php,,,42.341152,-71.080658
107,GBFB Member Agency,Catholic Charities South Brockton Pantry,169 Court St.,Brockton,2302,2302,"M-F: 10am-12, 1-3pm, M: 5-7pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""13:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""16:00""
""end"" : ""19:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""10:00""
""end"" : ""12:00""",,http://www.ccab.org/cc_brockton.html,508-587-0815,,42.085899,-71.014469
108,GBFB Member Agency,"Braintree Holidays/Friends, Inc. Marge Crispin Center Food Pantry",100 Pond St. Bldg. #2,Braintree,2184,2184,"M-F: 10am-12, 1pm-3pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""13:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""13:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""13:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""13:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""13:00""
""end"" : ""15:00""",,http://www.neighborhoodlink.com/The_Marge_Crispin_Center,781-848-2124,margecrispin@aol.com,42.20053,-71.011892
109,GBFB Finder,Salvation Army/Waltham Pantry,33 Myrtle Street,Waltham,2453,2453,M-F: 10am-12am,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""10:00""
""end"" : ""12:00""",,,781-894-0413,,42.366151,-71.236552
110,GBFB Member Agency,Yarmouth Food Pantry,845 Massachusetts 28,South Yarmouth,2664,2664,M-F: 10am-12pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""10:00""
""end"" : ""12:00""",,,508-771-1135,,41.970255,-71.29128
111,GBFB Member Agency,Charity Guild Food Pantry,501 Main St.,Brockton,2305,2305,M-F: 10am-3pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""10:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""10:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""10:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""10:00""
""end"" : ""15:00""
",,http://thecharityguild.org/foodpantry/,508-583-6680,info@thecharityguild.org,42.075252,-71.003838
112,GBFB Member Agency,Area Planning Action Council Allston-Brighton,143 Harvard Avenue,Allston,2135,2135,M-F: 10am-3pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""13:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""10:00""
""end"" : ""13:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""10:00""
""end"" : ""13:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""10:00""
""end"" : ""13:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""10:00""
""end"" : ""13:00""",,http://www.allstonbrightonapac.org/,617-254-8748,info@allstonbrightonapac.org,42.416386,-71.137655
113,GBFB Member Agency,Salvation Army Attleboro Food Pantry,5 Mechanic St.,Attleboro,2093,2093,M-F: 10am-3pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""10:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""10:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""10:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""10:00""
""end"" : ""15:00""
",,,508-226-8624,,41.898762,-70.480949
114,GBFB Member Agency,Boston Medical Center Food Pantry,One Boston Medican Center Place,Boston,2118,2118,M-F: 10am-4pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""10:00""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""10:00""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""10:00""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""10:00""
""end"" : ""16:00""",,,617-638-8000,,42.356705,-71.058556
115,GBFB Member Agency,Gladtidings Food Pantry,573 Norfolk St.,Dorchester,2126,2126,M-F: 10am-4pm (dropbox in church),"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""10:00""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""10:00""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""10:00""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""10:00""
""end"" : ""16:00""",,,617-296-6784,,42.277225,-71.237617
116,GBFB Member Agency,The Open Door Food Pantry,28 Emerson Ave.,Gloucester,1930,1930,"M-F: 10am-5pm, M, W, Thu: 6-7pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""17:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""18:00""
""end"" : ""19:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""10:00""
""end"" : ""17:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""10:00""
""end"" : ""17:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""18:00""
""end"" : ""19:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""10:00""
""end"" : ""17:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""18:00""
""end"" : ""19:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""10:00""
""end"" : ""17:00""",,http://www.foodpantry.org/,978-283-6776,,41.769302,-70.05603
117,GBFB Member Agency,Beverly Bootsraps Food Pantry,371 Cabot St.,Beverly,1915,1915,"M-F: 11-12:30, Tue, W: 5-6","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""11:00""
""end"" : ""12:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""11:00""
""end"" : ""12:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""17:00""
""end"" : ""18:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""11:00""
""end"" : ""12:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""17:00""
""end"" : ""18:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""11:00""
""end"" : ""12:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""11:00""
""end"" : ""12:30""",,http://www.beverlybootstraps.org/,978-927-1561,,42.556992,-70.878181
118,GBFB Member Agency,North Shore Assembly of God Food Pantry,77 Kennedy Dr.,Malden,2148,2148,M-F: 11am-6pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""11:00""
""end"" : ""18:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""11:00""
""end"" : ""18:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""11:00""
""end"" : ""18:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""11:00""
""end"" : ""18:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""11:00""
""end"" : ""18:00""",,http://www.northshoreag.org/,781-321-2121,contact@northshoreag.org,42.437972,-71.027171
119,GBFB Member Agency,"Soup Kitchen In Provincetown, Inc.",24 Shank Painter Rd.,Provincetown,2657,2657,M-F: 12:30-1:30,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""12:30""
""end"" : ""13:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""12:30""
""end"" : ""13:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""12:30""
""end"" : ""13:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""12:30""
""end"" : ""13:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""12:30""
""end"" : ""13:30""",,,508-487-8331,,42.32428,-70.193269
120,GBFB Finder,ERSCC/Faith Covenant Meal,1306 Hancock Street,Quincy,2170,2170,M-F: 12am-1pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""12:00""
""end"" : ""13:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""12:00""
""end"" : ""13:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""12:00""
""end"" : ""13:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""12:00""
""end"" : ""13:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""12:00""
""end"" : ""13:00""",,,617-471-7075,,42.251171,-71.002983
121,GBFB Member Agency,Lynn Emergency Shelter,100 Willow St.,Lynn,1901,1901,"M-F: 4pm-8am, Sat, Sun: 24 hrs","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""16:00""
""end"" : ""08:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""16:00""
""end"" : ""08:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""16:00""
""end"" : ""08:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""16:00""
""end"" : ""08:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""16:00""
""end"" : ""08:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Saturday”]
""startsOn"" : ""06/08/2013""
""start"": ""12:00""
""end"" : ""24:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Sunday”]
""startsOn"" : ""06/09/2013""
""start"": ""12:00""
""end"" : ""24:00""",,http://www.lynnemergencyshelter.org/,781-581-6600,Oneil.gray@lsahome.org,42.464912,-70.947533
122,GBFB Finder,Mass. Ave. Baptist Church Meals,146 Hampshire Street,Cambridge,2139,2139,M-F: 5:30pm-7pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""17:30""
""end"" : ""19:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""17:30""
""end"" : ""19:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""17:30""
""end"" : ""19:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""17:30""
""end"" : ""19:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""17:30""
""end"" : ""19:00""",,,617-868-4853,,42.370953,-71.097786
123,GBFB Member Agency,Salvation Army New Bedford Pantry,619 Purchase St.,New Bedford,2740,2740,"M-F: 8:30-12, 1-3 ","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""08:30""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""13:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""08:30""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""13:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""08:30""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""13:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""08:30""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""13:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""08:30""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""13:00""
""end"" : ""15:00""",,,508-997-6561,,41.632103,-70.925827
124,GBFB Member Agency,Gavin Foundation/James F. Gavin House,675 E. 4th St.,South Boston,2127,2127,M-F: 8:30-4:30,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""08:30""
""end"" : ""16:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""08:30""
""end"" : ""16:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""08:30""
""end"" : ""16:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""08:30""
""end"" : ""16:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""08:30""
""end"" : ""16:30""",,http://www.gavinfoundation.org/,617-268-5517,,42.334499,-71.037811
125,GBFB Member Agency,Saint Vincent de Paul/Father Sweeny Pantry,327 Court St.,Plymouth,2360,2360,M-F: 8:30am-4pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""08:30""
""end"" : ""16:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""08:30""
""end"" : ""16:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""08:30""
""end"" : ""16:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""08:30""
""end"" : ""16:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""08:30""
""end"" : ""16:30""",,,508-746-4851,,41.974547,-70.685053
